name,generation,is_legendary
Bulbasaur,1,0
Ivysaur,1,0
Venusaur,1,0
Charmander,1,0
Charmeleon,1,0
Charizard,1,0
Squirtle,1,0
Wartortle,1,0
Blastoise,1,0
Caterpie,1,0
Metapod,1,0
Butterfree,1,0
Weedle,1,0
Kakuna,1,0
Beedrill,1,0
Pidgey,1,0
Pidgeotto,1,0
Pidgeot,1,0
Rattata,1,0
Raticate,1,0
Spearow,1,0
Fearow,1,0
Ekans,1,0
Arbok,1,0
Pikachu,1,0
Raichu,1,0
Sandshrew,1,0
Sandslash,1,0
Nidoran♀,1,0
Nidorina,1,0
Nidoqueen,1,0
Nidoran♂,1,0
Nidorino,1,0
Nidoking,1,0
Clefairy,1,0
Clefable,1,0
Vulpix,1,0
Ninetales,1,0
Jigglypuff,1,0
Wigglytuff,1,0
Zubat,1,0
Golbat,1,0
Oddish,1,0
Gloom,1,0
Vileplume,1,0
Paras,1,0
Parasect,1,0
Venonat,1,0
Venomoth,1,0
Diglett,1,0
Dugtrio,1,0
Meowth,1,0
Persian,1,0
Psyduck,1,0
Golduck,1,0
Mankey,1,0
Primeape,1,0
Growlithe,1,0
Arcanine,1,0
Poliwag,1,0
Poliwhirl,1,0
Poliwrath,1,0
Abra,1,0
Kadabra,1,0
Alakazam,1,0
Machop,1,0
Machoke,1,0
Machamp,1,0
Bellsprout,1,0
Weepinbell,1,0
Victreebel,1,0
Tentacool,1,0
Tentacruel,1,0
Geodude,1,0
Graveler,1,0
Golem,1,0
Ponyta,1,0
Rapidash,1,0
Slowpoke,1,0
Slowbro,1,0
Magnemite,1,0
Magneton,1,0
Farfetch'd,1,0
Doduo,1,0
Dodrio,1,0
Seel,1,0
Dewgong,1,0
Grimer,1,0
Muk,1,0
Shellder,1,0
Cloyster,1,0
Gastly,1,0
Haunter,1,0
Gengar,1,0
Onix,1,0
Drowzee,1,0
Hypno,1,0
Krabby,1,0
Kingler,1,0
Voltorb,1,0
Electrode,1,0
Exeggcute,1,0
Exeggutor,1,0
Cubone,1,0
Marowak,1,0
Hitmonlee,1,0
Hitmonchan,1,0
Lickitung,1,0
Koffing,1,0
Weezing,1,0
Rhyhorn,1,0
Rhydon,1,0
Chansey,1,0
Tangela,1,0
Kangaskhan,1,0
Horsea,1,0
Seadra,1,0
Goldeen,1,0
Seaking,1,0
Staryu,1,0
Starmie,1,0
Mr. Mime,1,0
Scyther,1,0
Jynx,1,0
Electabuzz,1,0
Magmar,1,0
Pinsir,1,0
Tauros,1,0
Magikarp,1,0
Gyarados,1,0
Lapras,1,0
Ditto,1,0
Eevee,1,0
Vaporeon,1,0
Jolteon,1,0
Flareon,1,0
Porygon,1,0
Omanyte,1,0
Omastar,1,0
Kabuto,1,0
Kabutops,1,0
Aerodactyl,1,0
Snorlax,1,0
Articuno,1,1
Zapdos,1,1
Moltres,1,1
Dratini,1,0
Dragonair,1,0
Dragonite,1,0
Mewtwo,1,1
Mew,1,1
Chikorita,2,0
Bayleef,2,0
Meganium,2,0
Cyndaquil,2,0
