pokedex_number,japanese_name,name,classfication,abilities,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,capture_rate,experience_growth,base_total,hp,attack,defense,sp_attack,sp_defense,speed,percentage_male,height_m,weight_kg,generation,is_legendary
1,Fushigidaneフシギダネ,Bulbasaur,Seed Pokémon,"['Overgrow', 'Chlorophyll']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,45,1059860,318,45,49,49,65,65,45,88.1,0.7,6.9,1,0
2,Fushigisouフシギソウ,Ivysaur,Seed Pokémon,"['Overgrow', 'Chlorophyll']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,45,1059860,405,60,62,63,80,80,60,88.1,1,13,1,0
3,Fushigibanaフシギバナ,Venusaur,Seed Pokémon,"['Overgrow', 'Chlorophyll']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,45,1059860,625,80,100,123,122,120,80,88.1,2,100,1,0
4,Hitokageヒトカゲ,Charmander,Lizard Pokémon,"['Blaze', 'Solar Power']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,45,1059860,309,39,52,43,60,50,65,88.1,0.6,8.5,1,0
5,Lizardoリザード,Charmeleon,Flame Pokémon,"['Blaze', 'Solar Power']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,45,1059860,405,58,64,58,80,65,80,88.1,1.1,19,1,0
6,Lizardonリザードン,Charizard,Flame Pokémon,"['Blaze', 'Solar Power']",fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,70,45,1059860,634,78,104,78,159,115,100,88.1,1.7,90.5,1,0
7,Zenigameゼニガメ,Squirtle,Tiny Turtle Pokémon,"['Torrent', 'Rain Dish']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,314,44,48,65,50,64,43,88.1,0.5,9,1,0
8,Kameilカメール,Wartortle,Turtle Pokémon,"['Torrent', 'Rain Dish']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,405,59,63,80,65,80,58,88.1,1,22.5,1,0
9,Kamexカメックス,Blastoise,Shellfish Pokémon,"['Torrent', 'Rain Dish']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,630,79,103,120,135,115,78,88.1,1.6,85.5,1,0
10,Caterpieキャタピー,Caterpie,Worm Pokémon,"['Shield Dust', 'Run Away']",bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,255,1000000,195,45,30,35,20,20,45,50,0.3,2.9,1,0
